product_a,product_a_label,product_b,product_b_label,similarity,shared_attributes,shared_attribute_nodes
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,PRODUCT:5380,GOTERO VIDRIO AZUL 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,PRODUCT:5421,FRASCO GOTERO VIDRIO VERDE 10ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,PRODUCT:5246,GOTERO VIDRIO TRANSPARENTE 10ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,PRODUCT:5252,GOTERO VIDRIO TRANSPARENTE 100ML C/TAOA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,PRODUCT:5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,PRODUCT:5488,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,PRODUCT:5508,FRASCO GOTERO VIDRIO VERDE 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,PRODUCT:5422,FRASCO GOTERO VIDRIO VERDE 30ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,PRODUCT:5379,GOTERO VIDRIO AZUL 30ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,PRODUCT:5214,FRASCO GOTERO VIDRIO TRANSPARENTE 20ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5421,FRASCO GOTERO VIDRIO VERDE 10ML C/TAPA Y CHUPON,PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5421,FRASCO GOTERO VIDRIO VERDE 10ML C/TAPA Y CHUPON,PRODUCT:5549,GOTERO VIDRIO AMBAR 100ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5421,FRASCO GOTERO VIDRIO VERDE 10ML C/TAPA Y CHUPON,PRODUCT:5550,GOTERO VIDRIO AMBAR 50ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5488,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,PRODUCT:5508,FRASCO GOTERO VIDRIO VERDE 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,PRODUCT:5550,GOTERO VIDRIO AMBAR 50ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5508,FRASCO GOTERO VIDRIO VERDE 50ML C/TAPA Y CHUPON,PRODUCT:5549,GOTERO VIDRIO AMBAR 100ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5508,FRASCO GOTERO VIDRIO VERDE 50ML C/TAPA Y CHUPON,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,PRODUCT:5549,GOTERO VIDRIO AMBAR 100ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,PRODUCT:5550,GOTERO VIDRIO AMBAR 50ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5400,GOTERO  VIDRIO AMBAR 30ML TAPA METALIZADA DORADA Y CHUPON,PRODUCT:5507,FRASCO GOTERO VIDRIO AZUL 100ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5422,FRASCO GOTERO VIDRIO VERDE 30ML C/TAPA Y CHUPON,PRODUCT:6514,GOTERO VIDRIO AMBAR 20ML TAPA METALIZADA DORADA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
PRODUCT:5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,PRODUCT:5488,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,0.498,4,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO
