product_a,product_a_label,product_b,product_b_label,similarity,shared_attributes,shared_attribute_nodes
PRODUCT:5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,PRODUCT:5566,CEPILLO DE LIMPIEZA PARA PROBETA DE 100ML,0.4986,2,CAPACITY:100ML|TYPE:ACCESORIO
PRODUCT:5066,PISETA 500 ML,PRODUCT:5383,PROBETA DE PLASTICO GRADUADA PROBETA DE PLASTICO GRADUADA 500 ML,0.4986,2,TYPE:ACCESORIO|CAPACITY:500ML
PRODUCT:5069,PISETA 1LT,PRODUCT:5412,PROBETA VIDRIO GRADUADA 1L,0.4986,2,TYPE:ACCESORIO|CAPACITY:1L
PRODUCT:5089,PROBETA DE VIDRIO GRADUADA C/PICO 10 ML,PRODUCT:5489,"GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML",0.4986,2,CAPACITY:10ML|TYPE:ACCESORIO
PRODUCT:5092,PROBETA DE PLASTICO GRADUADA 10 ML,PRODUCT:5489,"GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML",0.4986,2,CAPACITY:10ML|TYPE:ACCESORIO
PRODUCT:5065,PISETA 250ML,PRODUCT:5095,PROBETA DE PLASTICO GRADUADA 250 ML,0.4986,2,CAPACITY:250ML|TYPE:ACCESORIO
PRODUCT:5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,PRODUCT:5288,POTE PLASTICO BLANCO TIPO FROTACION 100GR C/TAPA,0.4982,3,COLOR:BLANCO|TYPE:POTE|MATERIAL:PLASTICO
PRODUCT:5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,PRODUCT:5076,POTE PLASTICO BLANCO 250GR CON TAPA,0.4982,3,COLOR:BLANCO|TYPE:POTE|MATERIAL:PLASTICO
PRODUCT:5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,PRODUCT:5287,POTE PLASTICO BLANCO TIPO FROTACION 50GR C/TAPA,0.4982,3,COLOR:BLANCO|TYPE:POTE|MATERIAL:PLASTICO
PRODUCT:5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,PRODUCT:5456,POTE PLASTICO TIPO PROTEINA BLANCO 1KG C/TAPA,0.4982,3,COLOR:BLANCO|TYPE:POTE|MATERIAL:PLASTICO
PRODUCT:5287,POTE PLASTICO BLANCO TIPO FROTACION 50GR C/TAPA,PRODUCT:5562,POTE PLASTICO BLANCO 20GR CON TAPA B40,0.4982,3,COLOR:BLANCO|TYPE:POTE|MATERIAL:PLASTICO
PRODUCT:5285,SOLO MINI TRIGGER BLANCO B28,PRODUCT:5613,SOLO TRIGGER MINI GATILLO BLANCO B24,0.4982,3,COLOR:BLANCO|TYPE:ATOMIZADOR|ACCESSORY:GATILLO
