source,target,relation,weight,evidence
PRODUCT:5005,ACCESSORY:TAPA,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON
PRODUCT:5005,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON
PRODUCT:5005,COLOR:AMBAR,HAS_COLOR,0.94,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON
PRODUCT:5005,CAPACITY:50ML,HAS_CAPACITY,0.95,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON
PRODUCT:5006,TYPE:GOTERO,HAS_TYPE,0.95,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,SUBTYPE:CHUPON,HAS_SUBTYPE,0.94,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,ACCESSORY:CHUPON,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,ACCESSORY:TAPA,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,COLOR:AMBAR,HAS_COLOR,0.94,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5006,CAPACITY:100ML,HAS_CAPACITY,0.95,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON
PRODUCT:5007,TYPE:TAPA,HAS_TYPE,0.9,TAPA DISPENSADORA BLANCO B28MM
PRODUCT:5007,SUBTYPE:DISPENSADOR,HAS_SUBTYPE,0.95,TAPA DISPENSADORA BLANCO B28MM
PRODUCT:5007,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,TAPA DISPENSADORA BLANCO B28MM
PRODUCT:5007,COLOR:BLANCO,HAS_COLOR,0.94,TAPA DISPENSADORA BLANCO B28MM
PRODUCT:5007,MOUTH_SIZE:28MM,HAS_MOUTH_SIZE,0.92,TAPA DISPENSADORA BLANCO B28MM
PRODUCT:5008,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5008,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5008,FEATURE:IMPORTADO,HAS_FEATURE,0.8,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5008,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5008,COLOR:AMBAR,HAS_COLOR,0.94,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5008,CAPACITY:125ML,HAS_CAPACITY,0.95,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA
PRODUCT:5009,TYPE:ATOMIZADOR,HAS_TYPE,0.92,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY
PRODUCT:5009,SUBTYPE:ATOMIZADOR,HAS_SUBTYPE,0.95,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY
PRODUCT:5009,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY
