product_id,product_name,supplier,supplier_norm,supplier_options,effective_unit_cost,reference_unit_cost,edge_weight,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,is_negative_edge,scenario_type
5228,VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.35,0.5583335,-0.208334,0.208334,0.373135,50,2050,2,2025-06-10,True,historical_saving
5228,CON TAPA CORCHO N4VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,0.766667,0.5583335,0.208333,-0.208333,-0.373134,150,4424,1,2025-12-27,False,at_or_above_reference
5229,BOMBA ATOMIZADORA ACANALADO 20 410 BLANCO,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.27466,0.27466,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5230,BOMBA ATOMIZADORA ACANALADO N28 410 FUCSIA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.35917,0.35917,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5231,BOMBA ATOMIZADORA ACANALADO 20 410 TRANSPARENTE,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.27466,0.27466,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5232,BOMBA ATOMIZADORA ACANALADO 20/410 NEGRO,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.25,0.26233,-0.01233,0.01233,0.047002,500,2000,2,2026-02-10,True,historical_saving
5233,BOMBA ATOMIZADORA ACANALADO 20/410 CELESTE,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.27466,0.27466,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5234,BOMBA ATOMIZADORA ACANALADO N20 410 FUCSIA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.27466,0.27466,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
5235,BOMBA ATOMIZADORA ACANALADO N28 410 BLANCO,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.31375,0.336458,-0.022708,0.022708,0.067491,1200,2000,2,2026-03-04,True,historical_saving
5236,BOMBA ATOMIZADORA ACANALADO N28 410 TRANSPARENTE,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1,0.35917,0.35917,0.0,0.0,0.0,200,2000,1,2025-06-10,False,at_or_above_reference
