product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
5567,CEPILLO DE LIMPIEZA PARA PROBETA DE 250ML,CORPORACION PROMELAB E.I.R.L.,3.0,3.0,0.0,0.0,0.0,2.0,1250.0,1,2026-01-06,False
5568,CEPILLO DE LIMPIEZA PARA PROBETA DE 500ML,CORPORACION PROMELAB E.I.R.L.,5.0,5.0,0.0,0.0,0.0,2.0,1250.0,1,2026-01-06,False
5569,FRASCO PEAD PLASTICO AMARILLO CILINDRO 350ML,INVERSIONES AGO S.A.C.,0.04,0.04,0.0,0.0,0.0,1.0,6084.0,1,2026-01-21,False
5570,FRASCO PEAD PLASTICO AMARILLO CILINDRO 150ML,INVERSIONES AGO S.A.C.,0.04,0.04,0.0,0.0,0.0,1.0,6084.0,1,2026-01-21,False
5571,BOMBA ATOMIZADORA ACANALADO N24/410 NEGRO,INVERSIONES AGO S.A.C.,0.04,0.04,0.0,0.0,0.0,2.0,6084.0,1,2026-01-21,False
5572,MATRAZ ERLENMEYER DE POLIPROPILENO 250ML,IMPORTADORA ANDINA E.I.R.L,17.87167,17.87167,0.0,0.0,0.0,6.0,66.0,1,2026-01-23,False
5574,TERMOMETRO DE VIDRIO -20 +150,MATRAZ PERU E.I.R.L.,19.0,19.0,0.0,0.0,0.0,5.0,1697.0,2,2026-02-13,False
5575,TUBO DE ENSAYO T/ROSCA 20*150MM - PYREX,CORPORACION PROMELAB E.I.R.L.,2.0,2.0,0.0,0.0,0.0,10.0,1250.0,1,2026-02-05,False
5578,Balanza 200g-0.01g,GRIT LABS S.A.C.,9.9,9.9,0.0,0.0,0.0,10.0,11.0,1,2026-03-26,False
5579,FRASCO ESMALTE VIDRIO TRANSPARENTE 15ML CON BROCHA Y TAPA,COMERCIAL FERRETERA SARASARA S.A.C.,1.0,1.0,0.0,0.0,0.0,100.0,4424.0,1,2026-02-23,False
5580,POTE PROTEINA 3.3KG,COMERCIAL FERRETERA SARASARA S.A.C.,3.5,3.5,0.0,0.0,0.0,25.0,4424.0,1,2026-02-23,False
5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,ENVIPLAST E.I.R.L.,0.6,0.6,0.0,0.0,0.0,100.0,2050.0,1,2026-02-24,False
5582,PIPETEADOR DE CREMALLERA AZUL (PUMP) 2ML,CORPORACION PROMELAB E.I.R.L.,13.0,13.0,0.0,0.0,0.0,2.0,1250.0,1,2026-02-25,False
5583,FRASCO PET CAMPANA 300ML BLANCO C/T SPRAY PISTOLA PVE,ENVIPLAST E.I.R.L.,1.8,1.8,0.0,0.0,0.0,100.0,2050.0,1,2026-02-23,False
5584,SOLO TAPA ESPUMERO B28,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,1.1278,1.1278,0.0,0.0,0.0,500.0,2000.0,1,2026-02-26,False
5586,ENVASE PEAD BLANCO CILINDRO 350ML,INVERSIONES AGO S.A.C.,0.65,0.65,0.0,0.0,0.0,500.0,6084.0,1,2026-02-26,False
5587,VASO DE PLASTICO GRADUADO ALTO RELIEVE 500ML ISOLAB,CRISTOFER IMPORT EIRL,14.0,14.0,0.0,0.0,0.0,6.0,300.0,1,2026-03-02,False
