product_id,product_name,product_type,subtype,material,color,accessory,shape,feature,capacity_value,capacity_unit,mouth_size_mm,confidence,sales_rows,purchases_rows
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,50.0,ML,,0.9229,75.0,13.0
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,30.0,ML,,0.9229,95.0,16.0
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,frasco,laina,VIDRIO,TRANSPARENTE,laina|tapa,,,20.0,ML,24.0,0.915,24.0,9.0
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,10.0,ML,,0.9229,73.0,10.0
5168,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,cremero,cremero,VIDRIO,AMBAR,laina|tapa,,,100.0,GR,,0.93,30.0,9.0
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,,,VIDRIO,,,,,250.0,ML,,0.83,90.0,8.0
5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,100.0,ML,,0.9229,69.0,12.0
5020,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,frasco,esmalte,VIDRIO,TRANSPARENTE,brocha|tapa,,,5.0,ML,,0.92,63.0,20.0
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),,,VIDRIO,,,,,100.0,ML,,0.83,81.0,7.0
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,5.0,ML,,0.9229,65.0,10.0
5206,LATA DE ALUMINIO PLATEADA 50GR C/TAPA,tapa,,ALUMINIO,,tapa,,,50.0,GR,,0.854,18.0,8.0
6,MATERIAL MEDICO,,,,,,,,,,,0.6,49.0,0.0
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,15.0,ML,,0.9229,59.0,8.0
5167,POTE CREMERO VIDRIO AMBAR 50GR C/TAPA NEGRA Y LAINA,cremero,cremero,VIDRIO,AMBAR,laina|tapa,,,50.0,GR,,0.93,36.0,9.0
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,chupon|tapa,,,20.0,ML,,0.9229,55.0,11.0
5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,tapa,,,5.0,ML,,0.8733,49.0,14.0
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),,,VIDRIO,,,,,500.0,ML,,0.83,55.0,8.0
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),,,VIDRIO,,,,,1.0,L,,0.83,45.0,10.0
5184,FRASCO VIDRIO TRANSPARENTE CUADRADO 50ML PERFUME C/TAPA SPRAY METALIZADO N18,frasco,atomizador,VIDRIO,TRANSPARENTE,tapa,,,50.0,ML,18.0,0.9163,3.0,8.0
5337,PROBADOR DE VIDRIO 5ML METALIZADO RECARGABLE,,,VIDRIO,,,,,5.0,ML,,0.83,43.0,7.0
5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,accesorio,,VIDRIO,,,,graduado,100.0,ML,,0.854,38.0,8.0
5126,BAGUETA O VARILLAS DE AGITACION DE VIDRIO 20CM,,,VIDRIO,,,,,,,,0.77,45.0,9.0
5188,TUBO DE ENSAYO T/ROSCA 16*150 - PYREX,tubo,rosca,,,,,,,,,0.8,25.0,12.0
5225,PLACA PETRI VIDRIO 90*15,,,VIDRIO,,,,,,,,0.77,26.0,9.0
5180,POTE VIDRIO TRANSPARENTE 30GR C/TAPA METAL N43 MN,pote,,METAL,TRANSPARENTE,tapa,,,30.0,GR,43.0,0.91,31.0,10.0
5179,POTE VIDRIO TRANSPARENTE 100GR C/TAPA METAL N53,pote,,METAL,TRANSPARENTE,tapa,,,100.0,GR,53.0,0.91,27.0,11.0
5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),,,VIDRIO,,,,,50.0,ML,,0.83,39.0,7.0
5228,VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,tapa,vial,VIDRIO,GRIS,tapa,,,7.0,ML,20.0,0.8762,7.0,3.0
5166,FRASCO VIDRIO AMBAR IMPORTADO 1LT B28 TAPA Y TAPON,frasco,,VIDRIO,AMBAR,tapa,,importado,1.0,L,28.0,0.8975,25.0,6.0
5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,tapa,,,10.0,ML,,0.8733,27.0,11.0
5139,PAPEL FILTRO RAPIDO X PLIEGO 50*50,,,PAPEL,,,,,,,,0.77,25.0,12.0
5115,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,cremero,cremero,VIDRIO,,laina|tapa,,,30.0,GR,,0.9283,31.0,6.0
5165,FRASCO VIDRIO AMBAR IMPORTADO 500ML TAPA Y TAPON N28,frasco,,VIDRIO,AMBAR,tapa,,importado,500.0,ML,28.0,0.8975,23.0,7.0
5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,frasco,,VIDRIO,AMBAR,tapa,,,250.0,ML,,0.91,29.0,7.0
5178,POTE VIDRIO TRANSPARENTE 200ML C/TAPA METAL N63,pote,,METAL,TRANSPARENTE,tapa,,,200.0,ML,63.0,0.91,19.0,7.0
5090,PROBETA DE VIDRIO GRADUADA C/PICO 50 ML G-,accesorio,,VIDRIO,,,,graduado,50.0,ML,,0.854,25.0,7.0
5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,cremero,cremero,VIDRIO,TRANSPARENTE,laina|tapa,,,50.0,GR,,0.93,28.0,7.0
5382,TIRAS MEDIDORAS DE PH (CAJA *100UND),caja,,,,,,,,,,0.87,24.0,6.0
5053,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA PLASTICO ROSCA,frasco,rosca,PLASTICO,AMBAR,tapa,,importado,125.0,ML,,0.895,26.0,7.0
5535,FRASCO VIDRIO AMBAR IMPORTADO 500ML C/TAPA Y TAPON INTERNO.,frasco,,VIDRIO,AMBAR,tapa,,importado,500.0,ML,,0.8943,24.0,0.0
5246,GOTERO VIDRIO TRANSPARENTE 10ML C/TAPA Y CHUPON,gotero,chupon,VIDRIO,TRANSPARENTE,chupon|tapa,,,10.0,ML,,0.8914,11.0,7.0
5347,BAGUETA O VARILLA DE VIDRIO 30ML,,,VIDRIO,,,,,30.0,ML,,0.83,30.0,7.0
5123,POTE VIDRIO AMBAR IMPORTADO 1KG C/TAPA,pote,,VIDRIO,AMBAR,tapa,,importado,1.0,KG,,0.8929,23.0,3.0
5101,POTE VIDRIO AMBAR IMPORTADO 250GR B45 C/TAPA,pote,,VIDRIO,AMBAR,tapa,,importado,250.0,GR,45.0,0.8962,27.0,4.0
5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP,accesorio,,PVC,,,,,150.0,GR,,0.8475,23.0,5.0
5187,EMBUDO VIDRIO 60MM,,,VIDRIO,,,,,,,,0.77,27.0,7.0
5141,LAMINILLA CUBREOBJETO 22*22MM*100UND,,,,,,,,,,,0.6,20.0,9.0
5163,FRASCO VIDRIO AMBAR 120ML TAPA Y TAPON N28,frasco,,VIDRIO,AMBAR,tapa,,,120.0,ML,28.0,0.9114,13.0,8.0
5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,,,VIDRIO,,,,,250.0,ML,,0.83,19.0,8.0
5113,TERMOMETRO  DIGITAL DE VASTAGO PARA COCINA DE 15CM,,,,,,,,,,,0.6,18.0,5.0
