product_id,product_name,total_value,sale_lines,value_share,cumulative_share,abc_class
5309,GRADILLA 7*3 21T CONICO 50MM,246.0,13,0.001162,0.827071,B
5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,244.4398680001,9,0.001154,0.828225,B
5339,FRASCO DE VIDRIO AMBAR 200ML BOCA 28,244.0,5,0.001152,0.829377,B
5513,TUBO ENSAYO PYREX 13*100 (BX250) 10ml,240.6,12,0.001136,0.830513,B
5359,FRASCO VIDRIO TRANSPARENTE 1.7 LT CON T/100,240.2,13,0.001134,0.831647,B
5565,FRASCO DE VIDRIO AMBAR BOCA ANCHA TAPA AZUL 1L,240.0,4,0.001134,0.832781,B
5265,PIPETA SEREOLOGICA GRADUADA VIDRIO 5ML - CITOGLAS,237.5,12,0.001122,0.833903,B
5128,TUBO DE ENSAYO DE VIDRIO CON TAPA ROSCA 16*125-PYREX,237.0,16,0.001119,0.835022,B
5428,PET TRANSPARENTE 100ML TAPA DISPENSADOR B20,234.8,14,0.001109,0.836131,B
5213,FRASCO PET TRANSPARENTE ESPUMERO 200ML C/ TAPA,234.5,13,0.001108,0.837239,B
5253,FRASCO PET 1LT TRANSPARENTE C/SPRAY PISTOLA N28,232.7,8,0.001099,0.838338,B
5510,POTE DOBLE FONDO BLANCO IMPORTADO 120GR C/TAPA Y LAINA,230.1,11,0.001087,0.839425,B
5224,VASO VIDRIO BORO GRADUADO 2LT,228.0,3,0.001077,0.840502,B
5323,VASO DOSIFICADOR PLASTICO GRADUADO 15ML,226.5,20,0.00107,0.841572,B
5262,GOTERO PLASTICO BLANCO 10ML C/TAPA Y TAPON N15,225.15,9,0.001063,0.842635,B
5478,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA c/ tapa minigatillo blanco,225.0,1,0.001063,0.843698,B
5047,FRASCO PLASTICO BLANCO 500ML CON TAPA Y TAPON N28,223.4,13,0.001055,0.844753,B
5261,GOTER PLASTICO BLANCO 5ML C/TAPA Y TAPON N15,222.6,6,0.001051,0.845804,B
5108,EMBUDO DE VIDRIO DE BOROSILICATO DE 100MM,220.5,15,0.001041,0.846845,B
5126,BAGUETA O VARILLAS DE AGITACION DE VIDRIO 20CM,214.8,45,0.001014,0.847859,B
5399,BARRA AGITADORA MAGNETICA C300 30*7.5 MM (AGITADOR MAGNETICO),214.0,2,0.001011,0.84887,B
5268,DESECADOR 300MM,213.6,1,0.001009,0.849879,B
5391,FRASCO TUBULAR VIDRIO TRANSPARENTE 4ML T/BAQUELITA N13,212.5,5,0.001004,0.850883,B
5121,FRASCO PET TRANSPARENTE 30ML B/20 TAPA DISPENSADOR GEL,212.3,20,0.001003,0.851886,B
5107,LAMINA PORTAOBJETO 7101 (PAQ. 50UND),211.5,18,0.000999,0.852885,B
5114,GRADILLA ACRILICA PARA 50 TUBOS,210.0,9,0.000992,0.853877,B
5590,FIOLA 1L VIDRIO,210.0,2,0.000992,0.854869,B
5171,FRASCO VIDRIO TRANSPARENTE 250ML C/TAPA Y TAPON N28,205.4,14,0.00097,0.855839,B
5347,BAGUETA O VARILLA DE VIDRIO 30ML,204.3,30,0.000965,0.856804,B
5321,BOMBA DISPENSADORA PARA GALONERA 28/410 ACANALADO COLOR BLANCO,204.0,2,0.000963,0.857767,B
5193,TUBO COLAPSIBLE BLANCO 30ML C/TAPA,203.7,17,0.000962,0.858729,B
5185,FRASCO PLASTICO INSECTICIDA BLANCO 500ML C/TAPA Y TAPON,203.2,9,0.00096,0.859689,B
5465,BOLSAS ZIPLOC 7*10 (BLS100),202.0,7,0.000954,0.860643,B
5322,FRASCO VIDRIO TRANSPARENTE 100ML PERFUME C/TAPA SPRAY METALIZADO N18,200.5,8,0.000947,0.86159,B
5515,FIOLA DE VIDRIO 250ML,200.0,3,0.000945,0.862535,B
5330,BOMBA PARA PIPETA,199.0,8,0.00094,0.863475,B
5044,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28,198.6,9,0.000938,0.864413,B
5360,POTE VIDRIO TRANSPARENTE 1L C/TAPA 100 deja pagado 100 soles para recoger el día viernes aproximado 910802980,197.5,1,0.000933,0.865346,B
5187,EMBUDO VIDRIO 60MM,197.1,27,0.000931,0.866277,B
5208,FRASCO PET TRANSPARENTE 30ML C/TAPA PRESS N20,195.1,7,0.000921,0.867198,B
5378,FRASCO VIDRIO AMBAR 15ML B18 TAPA ESPRAY,195.0,2,0.000921,0.868119,B
5130,LUNA DE RELOJ DE VIDRIO DE LABORATORIO 100MM G-,193.0,11,0.000912,0.869031,B
10,EQUIPOS DE SEGURIDAD LENTES 3M CLASICO,192.0,1,0.000907,0.869938,B
5177,POTE VIDRIO TRANSPARENTE 212GR BAJA TAPA METAL N63,191.4,10,0.000904,0.870842,B
5092,PROBETA DE PLASTICO GRADUADA 10 ML,190.5,18,0.0009,0.871742,B
5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,190.3012,38,0.000899,0.872641,B
5384,VASO DE VIDRIO BORO GRADUADO 10ML,190.0,12,0.000897,0.873538,B
5207,LATA DE ALUMINIO PLATEADA 30GR C/TAPA,187.7,12,0.000886,0.874424,B
5048,FRASCO PLASTICO BLANCO 1LT CON TAPA Y TAPON N28,187.3,12,0.000885,0.875309,B
5050,POTE CREMERO DOBLE FONDO NEGRO IMPORTADO 60ML,186.0,8,0.000878,0.876187,B
5042,FRASCO PLASTICO AMBAR 1LT CON TAPA Y TAPON N28,184.2,16,0.00087,0.877057,B
5317,FRASCO PARA GEL 30ML DE CARTERA,182.2,15,0.000861,0.877918,B
5117,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML CON TAPA BAQUELITA B/20,180.1,15,0.000851,0.878769,B
