product,product_label,leiden_community,connected_component
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,6,0
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,6,0
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,6,0
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,6,0
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,6,0
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,6,0
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,6,0
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,1,0
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,2,0
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,5,0
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,5,0
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,5,0
PRODUCT:5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,5,0
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,2,0
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,8,0
PRODUCT:5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,4,0
PRODUCT:5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,2,0
PRODUCT:5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,8,0
PRODUCT:5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,0,0
PRODUCT:5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,0,0
PRODUCT:5020,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,3,0
PRODUCT:5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,0,0
PRODUCT:5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,0,0
PRODUCT:5023,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,0,0
PRODUCT:5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,0,0
PRODUCT:5025,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,4,0
PRODUCT:5026,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,4,0
PRODUCT:5027,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,4,0
PRODUCT:5028,PASTILLERO PLASTICO BLANCO 120GR CON TAPA,4,0
PRODUCT:5029,PASTILLERO PLASTICO NEGRO 40GR CON TAPA,4,0
PRODUCT:5030,PASTILLERO PLASTICO NEGRO 60GR CON TAPA,4,0
PRODUCT:5031,PASTILLERO PLASTICO NEGRO 90GR CON TAPA,4,0
PRODUCT:5032,PASTILLERO PLASTICO NEGRO 120GR CON TAPA,4,0
PRODUCT:5033,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,7,0
PRODUCT:5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,7,0
PRODUCT:5035,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,7,0
PRODUCT:5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,7,0
PRODUCT:5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,7,0
PRODUCT:5038,FRASCO PLASTICO AMBAR 60ML CON TAPA Y TAPON N28,7,0
PRODUCT:5039,FRASCO PLASTICO AMBAR 120ML CON TAPA Y TAPON N28,7,0
PRODUCT:5040,FRASCO PLASTICO AMBAR 250ML CON TAPA Y TAPON N28,7,0
PRODUCT:5041,FRASCO PLASTICO AMBAR 500ML CON TAPA Y TAPON N28,7,0
PRODUCT:5042,FRASCO PLASTICO AMBAR 1LT CON TAPA Y TAPON N28,7,0
PRODUCT:5043,FRASCO PLASTICO BLANCO 30ML CON TAPA Y TAPON N28,7,0
PRODUCT:5044,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28,7,0
PRODUCT:5045,FRASCO PLASTICO BLANCO 120ML CON TAPA Y TAPON N28,7,0
PRODUCT:5046,FRASCO PLASTICO BLANCO 250ML CON TAPA Y TAPON N28,7,0
PRODUCT:5047,FRASCO PLASTICO BLANCO 500ML CON TAPA Y TAPON N28,7,0
PRODUCT:5048,FRASCO PLASTICO BLANCO 1LT CON TAPA Y TAPON N28,7,0
PRODUCT:5049,POTE CREMERO DOBLE FONDO NEGRO IMPORTADO 30GR CON TAPA Y LAINA,8,0
PRODUCT:5050,POTE CREMERO DOBLE FONDO NEGRO IMPORTADO 60ML,8,0
PRODUCT:5051,TAPA DE PLASTICO ROSCA,1,0
PRODUCT:5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,2,0
PRODUCT:5053,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA PLASTICO ROSCA,2,0
PRODUCT:5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,7,0
PRODUCT:5055,FRASCO VIDRIO AMBAR IMPORTADO 250ML TAPA DISPENSADOR GEL,2,0
PRODUCT:5056,PASTILLERO PVC/CRISTAL N°4 80GR T/ROSCA Blanca,13,1
PRODUCT:5057,PASTILLERO PVC/CRISTAL N°3 50GR TAPA Blanca,13,1
PRODUCT:5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP,13,1
PRODUCT:5059,POTE PLASTICO PEAD BLANCO 1KG CON TAPA N°97,4,0
PRODUCT:5060,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,4,0
PRODUCT:5061,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA,4,0
PRODUCT:5062,POTE PLASTICO PEAD BLANCO 500GR CON TAPA Y LAINA,4,0
PRODUCT:5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,2,0
PRODUCT:5064,GATILLO PULVERIZADOR 28/410,1,0
PRODUCT:5065,PISETA 250ML,5,0
PRODUCT:5066,PISETA 500 ML,5,0
PRODUCT:5068,CRIOVIAL C/TAPA ROSCA NO ESTERIL 2ML TAPA BLANCA (BOLSA*500UND),1,0
PRODUCT:5069,PISETA 1LT,4,0
PRODUCT:5070,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N°28,0,0
PRODUCT:5071,GOTERO PLASTICO 100ML COLOR NATURAL,1,0
PRODUCT:5072,FRASCO YOGURT 1LT BLANCO CON TAPA 38MM,7,0
PRODUCT:5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,0,0
PRODUCT:5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,0,0
PRODUCT:5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,4,0
PRODUCT:5076,POTE PLASTICO BLANCO 250GR CON TAPA,4,0
PRODUCT:5077,GOTERO PLASTICO X 10ML NATURAL S/P B15MM C/TAPA Y TAPON,1,0
PRODUCT:5078,GOTERO PLASTICO 7ML NATURAL S/P B15MM C/TAPA Y TAPON,1,0
PRODUCT:5079,GOTERO PLASTICO 60ML NATURAL S/P B18MM C/TAPA Y TAPON,1,0
PRODUCT:5080,GOTERO PLASTICO 5ML NATURAL S/P C/TAPA,1,0
PRODUCT:5081,GOTERO PLASTICO 15ML NATURAL S/P C/TAPA,1,0
PRODUCT:5082,GOTERO PLASTICO 30ML NATURAL S/P C/TAPA,1,0
PRODUCT:5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),5,0
PRODUCT:5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),5,0
PRODUCT:5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,2,0
PRODUCT:5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),2,0
PRODUCT:5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),2,0
PRODUCT:5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),6,0
PRODUCT:5089,PROBETA DE VIDRIO GRADUADA C/PICO 10 ML,5,0
PRODUCT:5090,PROBETA DE VIDRIO GRADUADA C/PICO 50 ML G-,5,0
PRODUCT:5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,5,0
PRODUCT:5092,PROBETA DE PLASTICO GRADUADA 10 ML,4,0
PRODUCT:5093,PROBETA DE PLASTICO GRADUADA 50 ML,4,0
PRODUCT:5094,PROBETA DE PLASTICO GRADUADA 100 ML,4,0
PRODUCT:5095,PROBETA DE PLASTICO GRADUADA 250 ML,4,0
PRODUCT:5097,BURETA DE VIDRIO GRADUADO DE 25 ML CON LLAVE DE VIDRIO,5,0
PRODUCT:5098,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,1,0
PRODUCT:5099,PROBADOR PLASTICO 5ML ESPRAY COLORES,1,0
PRODUCT:5101,POTE VIDRIO AMBAR IMPORTADO 250GR B45 C/TAPA,2,0
PRODUCT:5103,TUBO DE ENSAYO DE VIDRIO 12*75MM (PAQ 250UND),9,2
PRODUCT:5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,2,0
PRODUCT:5106,MATRAZ ERLENMEYER DE VIDRIO 500ML,5,0
PRODUCT:5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,5,0
PRODUCT:5115,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,8,0
PRODUCT:5116,FRASCO VIDRIO TRANSPARENTE TUBULAR 15ML CON TAPA BAQUELITA N18,3,0
PRODUCT:5117,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML CON TAPA BAQUELITA B/20,3,0
PRODUCT:5118,FRASCO VIDRIO TRANSPARENTE TUBULAR 5ML CON TAPA BAQUELITA N20,3,0
PRODUCT:5119,FRASCO PET CAMPANA TRANSPARENTE 500ML B/28 TAPA ESPRAY PISTOLA..,0,0
PRODUCT:5120,FRASCO PET TRANSPARENTE 60ML B/20 C/TAPA DISPENSADOR,0,0
PRODUCT:5121,FRASCO PET TRANSPARENTE 30ML B/20 TAPA DISPENSADOR GEL,0,0
PRODUCT:5122,POTE ACRILICO 10GR C/TAPA ROSCA,14,3
PRODUCT:5123,POTE VIDRIO AMBAR IMPORTADO 1KG C/TAPA,2,0
PRODUCT:5124,POTE VIDRIO AMBAR 500GR IMPORTADO C/TAPA,2,0
PRODUCT:5125,FRASCO PET TRANSPARENTE 120ML CON TAPA ESPRAY N28,0,0
PRODUCT:5128,TUBO DE ENSAYO DE VIDRIO CON TAPA ROSCA 16*125-PYREX,9,2
PRODUCT:5133,CRIOVIAL C/TAPA PRESION DE 1.5ML NO ESTERIL (TUBO EPPENDORF BOLSA*500UND),9,2
PRODUCT:5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,8,0
PRODUCT:5135,FRASCO ROLL-ON VIDRIO AMBAR 10ML C/TAPON Y TAPA,2,0
PRODUCT:5136,FRASCO MINI PARA AROMATIZADOR VIDRIO 6ML C/TAPA,2,0
PRODUCT:5137,TUBO DE ENSAYO C/TAPA ROSCA 13*100 SIMPLE,9,2
PRODUCT:5138,TUBO CONICO CON TAPA ROSCA DE 50ML NO ESTERIL,9,2
PRODUCT:5142,FRASCO VIDRIO VERDE 5ML C/TAPA Y TAPON N18,3,0
PRODUCT:5143,FRASCO VIDRIO VERDE 10ML C/TAPA Y TAPON N18,3,0
PRODUCT:5144,FRASCO VIDRIO VERDE 15ML C/TAPA Y TAPON N18,3,0
PRODUCT:5145,FRASCO VIDRIO VERDE 20ML C/TAPA Y TAPON N18,3,0
PRODUCT:5146,FRASCO VIDRIO VERDE 30ML C/TAPA Y TAPON B18,3,0
PRODUCT:5147,FRASCO VIDRIO VERDE 50ML C/TAPA Y TAPON B18,3,0
PRODUCT:5148,FRASCO VIDRIO TRANSPARENTE 5ML C/TAPA Y TAPON B18,3,0
PRODUCT:5149,FRASCO VIDRIO TRANSPARENTE 10ML C/TAPA Y TAPON N18,3,0
PRODUCT:5150,FRASCO VIDRIO TRANSPARENTE 15ML C/TAPA Y TAPON N18,3,0
PRODUCT:5151,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA Y TAPON N18,3,0
PRODUCT:5152,FRASCO VIDRIO AMBAR 5ML C/TAPA Y TAPON B18,2,0
PRODUCT:5153,FRASCO VIDRIO AMBAR 10ML C/TAPA Y TAPON B18,2,0
PRODUCT:5154,FRASCO VIDRIO AMBAR 15ML C/TAPA Y TAPON B18,2,0
PRODUCT:5155,FRASCO VIDRIO AMBAR 20ML C/TAPA Y TAPON B18,2,0
PRODUCT:5156,FRASCO VIDRIO AMBAR 30ML C/TAPA Y TAPON B18,2,0
PRODUCT:5157,FRASCO VIDRIO AMBAR 50ML C/TAPA Y TAPON B18,2,0
PRODUCT:5158,FRASCO VIDRIO AMBAR 100ML C/TAPA Y TAPON B18,2,0
PRODUCT:5159,FRASCO VIDRIO AMBAR 25ML C/TAPA Y TAPON B28,2,0
PRODUCT:5160,FRASCO VIDRIO AMBAR PASTILLERO 30ML C/TAPA Y TAPON B28,2,0
PRODUCT:5161,FRASCO VIDRIO AMBAR 70ML C/TAPA Y TAPON N28,2,0
PRODUCT:5162,FRASCO VIDRIO AMBAR 100ML TAPA Y TAPON N28,2,0
PRODUCT:5163,FRASCO VIDRIO AMBAR 120ML TAPA Y TAPON N28,2,0
PRODUCT:5164,FRASCO VIDRIO AMBAR IMPORTADO 250ML TAPA Y TAPON N28,2,0
PRODUCT:5165,FRASCO VIDRIO AMBAR IMPORTADO 500ML TAPA Y TAPON N28,2,0
PRODUCT:5166,FRASCO VIDRIO AMBAR IMPORTADO 1LT B28 TAPA Y TAPON,2,0
PRODUCT:5167,POTE CREMERO VIDRIO AMBAR 50GR C/TAPA NEGRA Y LAINA,8,0
PRODUCT:5168,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,8,0
PRODUCT:5169,FRASCO VIDRIO TRANSPARENTE 1LT C/TAPA Y TAPON N28,3,0
PRODUCT:5170,FRASCO VIDRIO TRANSPARENTE 500ML C/TAPA Y TAPON N28,3,0
PRODUCT:5171,FRASCO VIDRIO TRANSPARENTE 250ML C/TAPA Y TAPON N28,3,0
PRODUCT:5172,FRASCO VIDRIO TRANSPARENTE IMPORTADO 125ML C/TAPA Y TAPON N28,3,0
PRODUCT:5173,FRASCO VIDRIO TRANSPARENTE 60ML C/TAPA Y TAPON N28,3,0
PRODUCT:5174,FRASCO VIDRIO TRANSPARENTE 250ML C/TAPA DE METAL,0,0
PRODUCT:5175,FRASCO VIDRIO AMBAR IMPORTADO 30ML C/TAPA Y TAPON B28,2,0
PRODUCT:5176,POTE VIDRIO TRANSPARENTE 240GR C/TAPA DE METAL N63 MN,11,4
PRODUCT:5177,POTE VIDRIO TRANSPARENTE 212GR BAJA TAPA METAL N63,11,4
PRODUCT:5178,POTE VIDRIO TRANSPARENTE 200ML C/TAPA METAL N63,11,4
PRODUCT:5179,POTE VIDRIO TRANSPARENTE 100GR C/TAPA METAL N53,11,4
PRODUCT:5180,POTE VIDRIO TRANSPARENTE 30GR C/TAPA METAL N43 MN,11,4
PRODUCT:5181,POTE CREMERO DOBLE FONDO C/ CINTILLO PLATEADO 50GR C/TAPA Y LAINA,8,0
PRODUCT:5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,1,0
PRODUCT:5183,FRASCO VIDRIO TRANSPARENTE ALTO 50ML PERFUME C/TAPA SPRAY METALIZADO N18,3,0
PRODUCT:5184,FRASCO VIDRIO TRANSPARENTE CUADRADO 50ML PERFUME C/TAPA SPRAY METALIZADO N18,3,0
PRODUCT:5185,FRASCO PLASTICO INSECTICIDA BLANCO 500ML C/TAPA Y TAPON,7,0
PRODUCT:5186,FRASCO PLASTICO INSECTICIDA BLANCO 1LT C/TAPA Y TAPON,7,0
PRODUCT:5188,TUBO DE ENSAYO T/ROSCA 16*150 - PYREX,9,2
PRODUCT:5192,FRASCO PET CAMPANA BLANCO 300ML C/TAPA DISPENSADOR N28..,0,0
PRODUCT:5193,TUBO COLAPSIBLE BLANCO 30ML C/TAPA,7,0
PRODUCT:5194,FRASCO ESMALTE VIDRIO TRANSPARENTE 10ML C/BROCHA Y TAPA,3,0
PRODUCT:5195,TUBO COLAPSIBLE BLANCO 60ML C/TAPA,7,0
PRODUCT:5196,TUBO COLAPSIBLE BLANCO 100ML C/TAPA,7,0
PRODUCT:5197,TUBO COLAPSIBLE BLANCO 120ML C/TAPA,7,0
PRODUCT:5198,POTE CREMERO VIDRIO PAVONADO 15GR CON LAINA Y TAPA,8,0
PRODUCT:5199,TALQUERA PLASTICO 70GR C/TAPA Y REJILLA,4,0
PRODUCT:5200,FRASCO PET BOLON 400ML TRANSPARENTE C/TAPA ESPRAY PISTOLA N28,0,0
PRODUCT:5201,VIAL VIDRIO TRANSPARENTE 20ML B20 C/TAPON BUTILO GRIS N20,10,0
PRODUCT:5202,FRASCO ROLL-ON PAVONADO 10ML C/TAPON Y TAPA,3,0
PRODUCT:5203,POTE PLASTICO BLANCO TIPO ANALISIS 120GR C/TAPA,4,0
