codigo,descripcion_original,tipo_producto,subtipo,material_principal,color,volumen_ml,tam_boca_mm,tipo_cierre,uso_categoria,familia_material,notas
5481,ENVASE PEAD BIDON *20LT VERDE C/TAPA Y TAPON,frasco,,PEAD,VERDE,20000.0,,,general,POLIETILENO,
5483,PLACA PETRI PLASTICO 100*15MM,accesorio,,,,,,,general,,
5484,PLACA PETRI PLASTICO 150*15MM,accesorio,,,,,,,general,,
5489,"GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML",accesorio,,,,10.0,,,general,,
5490,VASO GRADUADO DE PLASTICO 500ML,accesorio,,PP,,500.0,,,general,POLIPROPILENO,
5491,PIPETAS PASTEUR ESTRILES 1ML BX100,accesorio,,LDPE,,1.0,,,general,POLIETILENO,
5495,FRASCO PLASTICO INSECTICIDA 250ML C/TAPA Y TAPON,frasco,,,,250.0,,,general,,
5496,VASO DE PLASTICO 500ML,accesorio,,,,500.0,,,general,,
5498,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,frasco,,PET,AMBAR,120.0,28,,general,POLIETILENO TEREFTALATO,
5499,POTE DOBLE FONDO BLANCO IMPORTADO 60GR C/TAPA Y LAINA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5500,"GRADILLA PARA CRIOVIALES TAPA PRESION (EPPENDORF) 0.5ML, 1.5ML Y 2ML",accesorio,,,,0.0,,,general,,
5501,LANCETERO NIPRO PREMIER UNIVERSAL,accesorio,,PP,,,,,general,POLIPROPILENO,
5504,FRASCO BULLET 250 ML C/TAPA ATOMIZADOR B/24,frasco,bullet,,,250.0,24,,cosmetica,,
5505,CUCHARA PLASTICO 10GR,accesorio,,PP,,,,,general,POLIPROPILENO,
5506,LAINA PLASTICO N58,accesorio,,PP,,,58,,general,POLIPROPILENO,
5509,TUBO COLAPSIBLE 30ML NATURAL C/TAPA,tubo,,LDPE,NATURAL,30.0,,,general,POLIETILENO,
5510,POTE DOBLE FONDO BLANCO IMPORTADO 120GR C/TAPA Y LAINA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5511,POTE PET TRANSPARENTE 750ML C/TAPA,pote,,PET,TRANSPARENTE,750.0,,,general,POLIETILENO TEREFTALATO,
5518,FRASCO PET DE COLORES BOSTON 120ML C/TAPA FLIP TOP N20,frasco,,PET,,120.0,20,FLIP-TOP,general,POLIETILENO TEREFTALATO,
5519,BRILLO 12*18 (100und),accesorio,,,,,,,general,,
5520,BRILLO 13*20,accesorio,,,,,,,general,,
5524,TAPA PRESS N20,tapa,,PP,,,20,,general,POLIPROPILENO,
5525,PASTILLERO PLASTICO BLANCO 180ML C/TAPA,accesorio,pastillero,,BLANCO,180.0,,,general,,
5530,GALONERA PLASTICO NATURAL 1L B36 C/TAPA Y TAPON,tapa,,PP,NATURAL,1000.0,36,,general,POLIPROPILENO,
5531,PET TRANSPARENTE 120ML TAPA DISPENSADOR B20,tapa,,PET,TRANSPARENTE,120.0,20,,general,POLIETILENO TEREFTALATO,
5532,PET TRANSPARENTE 75ML TAPA DISPENSADOR B20,tapa,,PET,TRANSPARENTE,75.0,20,,general,POLIETILENO TEREFTALATO,
5538,FRASCO PET AMBAR 120ML B28 C/TAPA DISPENSADOR GEL,frasco,,PET,AMBAR,120.0,28,,general,POLIETILENO TEREFTALATO,
5539,FRASCO PET AMBAR 120ML B28 C/TAPA TRIGGER,frasco,,PET,AMBAR,120.0,28,,general,POLIETILENO TEREFTALATO,
5540,FRASCO PET AMBAR 120ML B28 C/TAPA SPRAY,frasco,,PET,AMBAR,120.0,28,,general,POLIETILENO TEREFTALATO,
5551,TAPA FLIP TOP BLANCO N20,tapa,,PP,BLANCO,,20,FLIP-TOP,general,POLIPROPILENO,
5552,CREMERO SIMPLE 30GR C/ TAPA Y LAINA NEGRO,cremero,,,NEGRO,,,,cosmetica,,
5553,FRASCO PET BLANCO 60ML C/TAPA DISPENSADOR N20,frasco,,PET,BLANCO,60.0,20,,general,POLIETILENO TEREFTALATO,
5554,FRASCO PET COLORES BOSTON 120ML C/TAPA DISPENSADOR B20,frasco,,PET,,120.0,20,,general,POLIETILENO TEREFTALATO,
5557,Gotero interno 50ml,gotero,,,,50.0,,GOTERO,general,,
5558,FRASCO PET TRANSPARENTE 200ML CON TAPA SPRAY N24,frasco,,PET,TRANSPARENTE,200.0,24,,general,POLIETILENO TEREFTALATO,
5560,LIPSTICK / BALSAMO LABIAL BLANCO 15ML,accesorio,,,BLANCO,15.0,,,cosmetica,,
5562,POTE PLASTICO BLANCO 20GR CON TAPA B40,pote,,PEAD,BLANCO,,40,,general,POLIETILENO,
5563,FRASCO PET AMBAR 60ML CON TAPA Y TAPON B28,frasco,,PET,AMBAR,60.0,28,,general,POLIETILENO TEREFTALATO,
5564,FRASCO PET BLANCO 60ML C/TAPA SPRAY N20,frasco,,PET,BLANCO,60.0,20,,general,POLIETILENO TEREFTALATO,
5569,FRASCO PEAD PLASTICO AMARILLO CILINDRO 350ML,frasco,,PEAD,AMARILLO,350.0,,,general,POLIETILENO,
5570,FRASCO PEAD PLASTICO AMARILLO CILINDRO 150ML,frasco,,PEAD,AMARILLO,150.0,,,general,POLIETILENO,
5571,BOMBA ATOMIZADORA ACANALADO N24/410 NEGRO,atomizador,,PP,NEGRO,,24,,general,POLIPROPILENO,
5573,TAPA PILFER N°28,tapa,,PP,,,28,,general,POLIPROPILENO,
5577,POTE PROTEINA BLANCO 3.3 KG,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5580,POTE PROTEINA 3.3KG,pote,,,,,,,general,,
5581,SOLO TAPA SPRAY MINI PISTOLA NEGRA N20,tapa,,PP,,,20,,general,POLIPROPILENO,
5582,PIPETEADOR DE CREMALLERA AZUL (PUMP) 2ML,accesorio,,PP,AZUL,2.0,,,general,POLIPROPILENO,
5583,FRASCO PET CAMPANA 300ML BLANCO C/T SPRAY PISTOLA PVE,frasco,campana,PET,BLANCO,300.0,,,general,POLIETILENO TEREFTALATO,
5584,SOLO TAPA ESPUMERO B28,espumero,espumero,PP,,,28,ESPUMERO,cosmetica,POLIPROPILENO,
5586,ENVASE PEAD BLANCO CILINDRO 350ML,frasco,,PEAD,BLANCO,350.0,,,general,POLIETILENO,
5587,VASO DE PLASTICO GRADUADO ALTO RELIEVE 500ML ISOLAB,accesorio,,,,500.0,,,general,,
5588,TAPA DISPENSADORA NEGRO B28MM,tapa,,PP,NEGRO,,,,general,POLIPROPILENO,
5589,POTE CREMERO BLANCO 25ML PLASTICO,cremero,,,BLANCO,25.0,,,cosmetica,,
5593,FRASCO PET AZUL 250ML C/TAPA DISPENSADORA N24,frasco,,PET,AZUL,250.0,24,,general,POLIETILENO TEREFTALATO,
5594,POTE CREMERO SIMPLE C/ CINTILLO PLATEADO 200GR C/TAPA Y LAINA,cremero,,,,,,,cosmetica,,
5598,TAPA PRESS N°24,tapa,,PP,,,24,,general,POLIPROPILENO,
5599,POTE PLASTICO BLANCO ALTO 300GR C/TAPA Y LAINA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5600,POTE PLASTICO BLANCO 200GR C/TAPA Y LAINA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5601,FRASCO PET AMBAR 60ML CON TAPA MINIGATILLO B28,frasco,,PET,AMBAR,60.0,28,,general,POLIETILENO TEREFTALATO,
5604,SOLO TAPA GOTERO INTERNO Y TAPON N18,gotero,,,,,18,GOTERO,general,,
5606,TUBO COLAPSIBLE 100ML BLANCO C/TAPA,tubo,,LDPE,BLANCO,100.0,,,general,POLIETILENO,
5607,TUBO PARA BRILLO LABIAL 10ML GLOSS,tubo,,LDPE,,10.0,,,general,POLIETILENO,
5610,FRASCO LAVAVAJILLA PET 500ML S/TAPA,frasco,,PET,,500.0,,,general,POLIETILENO TEREFTALATO,
5611,FRASCO PET TRANSPARENTE GATILLO 650ML MOD IP S/TAPA B28,frasco,,PET,TRANSPARENTE,650.0,28,,general,POLIETILENO TEREFTALATO,
5612,PET JABONERA TRANSPARENTE 28GR 400ML S/TAPA B28,tapa,,PET,TRANSPARENTE,400.0,28,,general,POLIETILENO TEREFTALATO,
5613,SOLO TRIGGER MINI GATILLO BLANCO B24,atomizador,,PP,BLANCO,,24,ATOMIZADOR,general,POLIPROPILENO,
5615,CUCHARA DE POLIETILENO PARA STEVIA,accesorio,,PEAD,,,,,general,POLIETILENO,
5618,FRASCO PET AMBAR 250ML C/TAPA DISPENSADORA N24,frasco,,PET,AMBAR,250.0,24,,general,POLIETILENO TEREFTALATO,
5619,TAPA DISPENSADORA PLASTICO B24,tapa,,PP,,,24,,general,POLIPROPILENO,
