codigo,descripcion_original,tipo_producto,subtipo,material_principal,color,volumen_ml,tam_boca_mm,tipo_cierre,uso_categoria,familia_material,notas
5076,POTE PLASTICO BLANCO 250GR CON TAPA,pote,,PEAD,BLANCO,,,,general,POLIETILENO,
5077,GOTERO PLASTICO X 10ML NATURAL S/P B15MM C/TAPA Y TAPON,gotero,,,NATURAL,10.0,,GOTERO,general,,
5078,GOTERO PLASTICO 7ML NATURAL S/P B15MM C/TAPA Y TAPON,gotero,,,NATURAL,7.0,,GOTERO,general,,
5079,GOTERO PLASTICO 60ML NATURAL S/P B18MM C/TAPA Y TAPON,gotero,,,NATURAL,60.0,,GOTERO,general,,
5080,GOTERO PLASTICO 5ML NATURAL S/P C/TAPA,gotero,,,NATURAL,5.0,,GOTERO,general,,
5081,GOTERO PLASTICO 15ML NATURAL S/P C/TAPA,gotero,,,NATURAL,15.0,,GOTERO,general,,
5082,GOTERO PLASTICO 30ML NATURAL S/P C/TAPA,gotero,,,NATURAL,30.0,,GOTERO,general,,
5092,PROBETA DE PLASTICO GRADUADA 10 ML,accesorio,,PP,,10.0,,,general,POLIPROPILENO,
5093,PROBETA DE PLASTICO GRADUADA 50 ML,accesorio,,PP,,50.0,,,general,POLIPROPILENO,
5094,PROBETA DE PLASTICO GRADUADA 100 ML,accesorio,,PP,,100.0,,,general,POLIPROPILENO,
5095,PROBETA DE PLASTICO GRADUADA 250 ML,accesorio,,PP,,250.0,,,general,POLIPROPILENO,
5096,PLACA PETRI DE PLASTICO 90*15,accesorio,,,,,,,general,,
5098,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,tapa,,PP,NATURAL,5.0,,,general,POLIPROPILENO,
5099,PROBADOR PLASTICO 5ML ESPRAY COLORES,accesorio,,,,5.0,,,general,,
5112,LENTES DE PROTECCION DE MARCO NEGRO,accesorio,,,NEGRO,,,,general,,
5114,GRADILLA ACRILICA PARA 50 TUBOS,accesorio,,,,,,,general,,
5119,FRASCO PET CAMPANA TRANSPARENTE 500ML B/28 TAPA ESPRAY PISTOLA..,frasco,campana,PET,TRANSPARENTE,500.0,28,,general,POLIETILENO TEREFTALATO,
5120,FRASCO PET TRANSPARENTE 60ML B/20 C/TAPA DISPENSADOR,frasco,,PET,TRANSPARENTE,60.0,20,,general,POLIETILENO TEREFTALATO,
5121,FRASCO PET TRANSPARENTE 30ML B/20 TAPA DISPENSADOR GEL,frasco,,PET,TRANSPARENTE,30.0,20,,general,POLIETILENO TEREFTALATO,
5122,POTE ACRILICO 10GR C/TAPA ROSCA,pote,,ACRILICO,,,,ROSCA,general,ACRILICO,
5125,FRASCO PET TRANSPARENTE 120ML CON TAPA ESPRAY N28,frasco,,PET,TRANSPARENTE,120.0,28,,general,POLIETILENO TEREFTALATO,
5137,TUBO DE ENSAYO C/TAPA ROSCA 13*100 SIMPLE,tubo,,LDPE,,,,ROSCA,general,POLIETILENO,
