product_id,supplier_norm,product_name,supplier,unit_cost,avg_unit_cost,capacity_units,purchase_lines,last_purchase,supplier_capacity,delivery_days
0001,COMERCIAL FERRETERA SARASARA S A C,utiles de oficina,COMERCIAL FERRETERA SARASARA S.A.C.,351.8,445.9,1,2,2025-04-28,4424,3
0001,GRIT LABS S A C,utiles de oficina,GRIT LABS S.A.C.,17.3,17.3,1,1,2026-03-26,11,3
0002,MULTI SALUX E I R L,ORTOPEDIA,MULTI SALUX E.I.R.L.,150.0,150.0,1,1,2025-06-21,1,3
0003,NEGOCIACIONES MANTARI E I R L,BOLSA 16*19 C/ASA *100UND,NEGOCIACIONES MANTARI E.I.R.L.,4.5,4.5,3,1,2025-08-26,300,3
0004,NEGOCIACIONES MANTARI E I R L,BOLSA 12*16 BCO ALFA *100UND,NEGOCIACIONES MANTARI E.I.R.L.,3.0,3.0,3,2,2025-12-01,300,3
0005,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA GRUPO CARLITOS S A C,TEMPLE Y SELLADOR MAJESTAADARTICULOS DE FERRETERIA,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA - GRUPO CARLITOS S.A.C.,76.0,76.0,1,1,2026-04-28,1,3
0006,DIMMED S A C,MATERIAL MEDICO,DIMMED S.A.C.,4.0,4.0,6,1,2026-02-18,6,3
0006,MULTI SALUX E I R L,BASTONMATERIAL MEDICO,MULTI SALUX E.I.R.L.,20.0,20.0,1,1,2026-02-20,1,3
0006,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,mascarillas MATERIAL MEDICO,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,5.0,5.0,128,1,2026-01-28,128,3
0007,GRUPO EL TRIDENTE S A C,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",GRUPO EL TRIDENTE S.A.C.,181.5,181.5,1,1,2025-12-31,1,3
0007,INVERSIONES GASTRONOMICAS GAMALMA E I R L,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",INVERSIONES GASTRONOMICAS GAMALMA E.I.R.L.,120.0,120.0,1,1,2026-04-26,1,3
0007,RINCON CERVECERO S A,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",RINCON CERVECERO S.A.,233.4,233.4,1,1,2026-03-05,1,3
