date,product_id,product_name,supplier,quantity,unit_cost_net,unit_cost_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_adjustment,is_active,analysis_unit_cost,analysis_total,product_name_norm,supplier_norm,source_dataset
2025-04-21,5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,2,4.23728,4.9999904,8.47456,1.5254208,10.0,False,False,True,4.9999904,10.0,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,5,3.38983,3.9999994,16.94915,3.050847,20.0,False,False,True,3.9999994,20.0,VASO PRECIPITADO DE VIDRIO 100 ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5069,PISETA 1LT,CORPORACION PROMELAB E.I.R.L.,20,4.23728,4.9999904,84.7456,15.254208,100.0,False,False,True,4.9999904,100.0,PISETA 1LT,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5065,PISETA 250ML,CORPORACION PROMELAB E.I.R.L.,50,2.11864,2.4999952,105.932,19.06776,125.0,False,False,True,2.4999952,125.0,PISETA 250ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,2,2.54237,2.9999966,5.08474,0.9152532,6.0,False,False,True,2.9999966,6.0,VASO PRECIPITADO DE VIDRIO 50ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,4,3.38983,3.9999994,13.55932,2.4406776,16.0,False,False,True,3.9999994,16.0,VASO PRECIPITADO DE VIDRIO 100 ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,CORPORACION PROMELAB E.I.R.L.,2,4.23728,4.9999904,8.47456,1.5254208,10.0,False,False,True,4.9999904,10.0,VASO PRECIPITADO DE VIDRIO 250 ML BEAKER G,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,2,6.77966,7.9999988,13.55932,2.4406776,16.0,False,False,True,7.9999988,16.0,VASO PRECIPITADO DE VIDRIO 500 ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),CORPORACION PROMELAB E.I.R.L.,2,10.16949,11.9999982,20.33898,3.6610164,24.0,False,False,True,11.9999982,24.0,VASO PRECIPITADO DE VIDRIO 1L BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5089,PROBETA DE VIDRIO GRADUADA C/PICO 10 ML,CORPORACION PROMELAB E.I.R.L.,2,6.77966,7.9999988,13.55932,2.4406776,16.0,False,False,True,7.9999988,16.0,PROBETA DE VIDRIO GRADUADA C PICO 10 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5090,PROBETA DE VIDRIO GRADUADA C/PICO 50 ML G-,CORPORACION PROMELAB E.I.R.L.,2,6.77966,7.9999988,13.55932,2.4406776,16.0,False,False,True,7.9999988,16.0,PROBETA DE VIDRIO GRADUADA C PICO 50 ML G,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,CORPORACION PROMELAB E.I.R.L.,2,11.01694,12.9999892,22.03388,3.9660984,26.0,False,False,True,12.9999892,26.0,PROBETA DE VIDRIO GRADUADA C PICO 100 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5092,PROBETA DE PLASTICO GRADUADA 10 ML,CORPORACION PROMELAB E.I.R.L.,3,1.69491,1.9999938,5.08473,0.9152514,6.0,False,False,True,1.9999938,6.0,PROBETA DE PLASTICO GRADUADA 10 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5093,PROBETA DE PLASTICO GRADUADA 50 ML,CORPORACION PROMELAB E.I.R.L.,3,3.38983,3.9999994,10.16949,1.8305082,12.0,False,False,True,3.9999994,12.0,PROBETA DE PLASTICO GRADUADA 50 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5094,PROBETA DE PLASTICO GRADUADA 100 ML,CORPORACION PROMELAB E.I.R.L.,3,5.9322,6.999996,17.7966,3.203388,21.0,False,False,True,6.999996,21.0,PROBETA DE PLASTICO GRADUADA 100 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-21,5095,PROBETA DE PLASTICO GRADUADA 250 ML,CORPORACION PROMELAB E.I.R.L.,2,8.47457,9.9999926,16.94914,3.0508452,20.0,False,False,True,9.9999926,20.0,PROBETA DE PLASTICO GRADUADA 250 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-23,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ENVIPLAST E.I.R.L.,50,0.67796,0.7999928,33.898,6.10164,40.0,False,False,True,0.7999928,40.0,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,ENVIPLAST E I R L,purchases
2025-04-23,5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,ENVIPLAST E.I.R.L.,50,2.2881355932,2.7,114.40677966,20.5932203388,135.0,False,False,True,2.7,135.0,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,ENVIPLAST E I R L,purchases
2025-04-23,5096,PLACA PETRI DE PLASTICO 90*15,CORPORACION PROMELAB E.I.R.L.,50,0.33898,0.3999964,16.949,3.05082,20.0,False,False,True,0.3999964,20.0,PLACA PETRI DE PLASTICO 90 15,CORPORACION PROMELAB E I R L,purchases
2025-04-23,5066,PISETA 500 ML,CORPORACION PROMELAB E.I.R.L.,100,2.54237,2.9999966,254.237,45.76266,300.0,False,False,True,2.9999966,300.0,PISETA 500 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-23,5097,BURETA DE VIDRIO GRADUADO DE 25 ML CON LLAVE DE VIDRIO,CORPORACION PROMELAB E.I.R.L.,1,16.94915,19.999997,16.94915,3.050847,20.0,False,False,True,19.999997,20.0,BURETA DE VIDRIO GRADUADO DE 25 ML CON LLAVE DE VIDRIO,CORPORACION PROMELAB E I R L,purchases
2025-04-23,5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,ENVIPLAST E.I.R.L.,25,2.3728813559,2.8,59.3220338975,10.6779661016,70.0,False,False,True,2.8,70.0,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,ENVIPLAST E I R L,purchases
2025-04-23,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,50,0.67796,0.7999928,33.898,6.10164,40.0,False,False,True,0.7999928,40.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
2025-04-23,5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,ENVIPLAST E.I.R.L.,25,2.3728813559,2.8,59.3220338975,10.6779661016,70.0,False,False,True,2.8,70.0,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,ENVIPLAST E I R L,purchases
2025-04-23,5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,25,0.76271,0.8999978,19.06775,3.432195,22.5,False,False,True,0.8999978,22.5,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
