date,product_id,product_name,customer,quantity,unit_price_net,unit_price_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_cancelled_source,is_adjustment,is_active,analysis_unit_price,analysis_total,product_name_norm,customer_norm,source_dataset
2025-04-01,5044,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28,VARIOS,48.0,0.4572740113,0.5395833333,21.9491525424,3.9508474576,25.9,False,NO,False,True,0.5395833333,25.9,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28,VARIOS,sales
2025-04-01,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,100.0,1.186440678,1.4,118.6440677966,21.3559322034,140.0,False,NO,False,True,1.4,140.0,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-02,5067,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,3.0,0.6779661017,0.8,2.0338983051,0.3661016949,2.4,False,NO,False,True,0.8,2.4,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,sales
2025-04-02,5064,GATILLO PULVERIZADOR 28/410,ESNA MEDIC INVERSIONES S.A.C.,36.0,1.6949152542,2.0,61.0169491525,10.9830508475,72.0,False,NO,False,True,2.0,72.0,GATILLO PULVERIZADOR 28 410,ESNA MEDIC INVERSIONES S A C,sales
2025-04-02,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,CEGNE SAN ANTONIO DE PADUA,12.0,2.5423728814,3.0,30.5084745763,5.4915254237,36.0,False,NO,False,True,3.0,36.0,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,CEGNE SAN ANTONIO DE PADUA,sales
2025-04-02,5007,TAPA DISPENSADORA BLANCO B28MM,CEGNE SAN ANTONIO DE PADUA,12.0,1.6949152542,2.0,20.3389830508,3.6610169492,24.0,False,NO,False,True,2.0,24.0,TAPA DISPENSADORA BLANCO B28MM,CEGNE SAN ANTONIO DE PADUA,sales
2025-04-02,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,10.0,1.0169491525,1.2,10.1694915254,1.8305084746,12.0,False,NO,False,True,1.2,12.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,sales
2025-04-05,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,1.0,2.5423728814,3.0,2.5423728814,0.4576271186,3.0,False,NO,False,True,3.0,3.0,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-05,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,2.0,2.1186440678,2.5,4.2372881356,0.7627118644,5.0,False,NO,False,True,2.5,5.0,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-09,5065,PISETA 250ML,VARIOS,3.0,3.3898305085,4.0,10.1694915254,1.8305084746,12.0,False,NO,False,True,4.0,12.0,PISETA 250ML,VARIOS,sales
2025-04-09,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,3.0,1.186440678,1.4,3.5593220339,0.6406779661,4.2,False,NO,False,True,1.4,4.2,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-09,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,1.0,1.3559322034,1.6,1.3559322034,0.2440677966,1.6,False,NO,False,True,1.6,1.6,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-09,5064,GATILLO PULVERIZADOR 28/410,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,GATILLO PULVERIZADOR 28 410,VARIOS,sales
2025-04-09,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,EDUTEC LABIMPORT SOCIEDAD ANONIMA CERRADA - EDUTEC LABIMPORT S.A.C.,24.0,1.05932,1.2499976,25.42368,4.5762624,29.9999424,False,NO,False,True,1.2499976,29.9999424,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,EDUTEC LABIMPORT SOCIEDAD ANONIMA CERRADA EDUTEC LABIMPORT S A C,sales
2025-04-10,5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,VARIOS,1.0,2.5423728814,3.0,2.5423728814,0.4576271186,3.0,False,NO,False,True,3.0,3.0,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,VARIOS,sales
2025-04-10,5064,GATILLO PULVERIZADOR 28/410,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,GATILLO PULVERIZADOR 28 410,VARIOS,sales
2025-04-11,5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,VARIOS,2.0,2.5423728814,3.0,5.0847457627,0.9152542373,6.0,False,NO,False,True,3.0,6.0,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C TAPA Y TAPON,VARIOS,sales
