product_id,product_name,query,query_tokens,matched_tokens,unmatched_tokens,matched_attributes_json,retrievability_score,top1_found,top5_found,top10_found,best_match_product_id,best_match_product_name,best_match_score
5457,POTE PLASTICO TIPO PROTEINA NEGRO 1KG C/TAPA,POTE PLASTICO TIPO PROTEINA NEGRO 1KG C/TAPA,POTE|PLASTICO|TIPO|PROTEINA|NEGRO|1KG|TAPA,POTE|PLASTICO|NEGRO|1KG|TAPA,TIPO|PROTEINA,"{""product_type"": [""POTE""], ""accessory"": [""TAPA""], ""material"": [""PLASTICO""], ""color"": [""NEGRO""], ""capacity_text"": [""1KG""], ""material_family"": [""PLASTICO""]}",0.7143,True,True,True,5457,POTE PLASTICO TIPO PROTEINA NEGRO 1KG C/TAPA,3.5577
5458,BAÑO MARIA 2 HOYOS OEA,BAÑO MARIA 2 HOYOS OEA,BANO|MARIA|HOYOS|OEA,,BANO|MARIA|HOYOS|OEA,{},0.0,True,True,True,5458,BAÑO MARIA 2 HOYOS OEA,2.7569
5459,AGITADOR MAGNETICO KYNTEL KR-100,AGITADOR MAGNETICO KYNTEL KR-100,AGITADOR|MAGNETICO|KYNTEL|KR|100,,AGITADOR|MAGNETICO|KYNTEL|KR|100,{},0.0,True,True,True,5459,AGITADOR MAGNETICO KYNTEL KR-100,2.7569
5460,TERMOHIDROMETRO BOECO ORIGINAL CALIBRADO,TERMOHIDROMETRO BOECO ORIGINAL CALIBRADO,TERMOHIDROMETRO|BOECO|ORIGINAL|CALIBRADO,,TERMOHIDROMETRO|BOECO|ORIGINAL|CALIBRADO,{},0.0,True,True,True,5460,TERMOHIDROMETRO BOECO ORIGINAL CALIBRADO,2.7569
5461,MATRAZ ERLENMEYER DE VIDRIO BORO 50ML g-,MATRAZ ERLENMEYER DE VIDRIO BORO 50ML g-,MATRAZ|ERLENMEYER|VIDRIO|BORO|50ML,MATRAZ|ERLENMEYER|VIDRIO|50ML,BORO,"{""subtype"": [""ERLENMEYER"", ""MATRAZ""], ""material"": [""VIDRIO""], ""capacity_text"": [""50ML""], ""material_family"": [""VIDRIO""]}",0.8,True,True,True,5461,MATRAZ ERLENMEYER DE VIDRIO BORO 50ML g-,3.6495
5462,BARRA AGITADORA MAGNETICA C200 20*7MM (AGITADOR MAGNETICO),BARRA AGITADORA MAGNETICA C200 20*7MM (AGITADOR MAGNETICO),BARRA|AGITADORA|MAGNETICA|C200|20|7MM|AGITADOR|MAGNETICO,,BARRA|AGITADORA|MAGNETICA|C200|20|7MM|AGITADOR|MAGNETICO,{},0.0,True,True,True,5462,BARRA AGITADORA MAGNETICA C200 20*7MM (AGITADOR MAGNETICO),2.7569
5463,FRASCO VIDRIO AZUL 20ML B/18 TAPA ESPRAY,FRASCO VIDRIO AZUL 20ML B/18 TAPA ESPRAY,FRASCO|VIDRIO|AZUL|20ML|18|TAPA|ESPRAY,FRASCO|VIDRIO|AZUL|20ML|TAPA|ESPRAY,18,"{""product_type"": [""FRASCO""], ""accessory"": [""ESPRAY"", ""TAPA""], ""material"": [""VIDRIO""], ""color"": [""AZUL""], ""capacity_text"": [""20ML""], ""material_family"": [""VIDRIO""]}",0.8571,True,True,True,5463,FRASCO VIDRIO AZUL 20ML B/18 TAPA ESPRAY,3.7185
5464,BOLSAS ZIPLOC 9*14*  (BLS100),BOLSAS ZIPLOC 9*14*  (BLS100),BOLSAS|ZIPLOC|14|BLS100,ZIPLOC,BOLSAS|14|BLS100,"{""subtype"": [""ZIPLOC""]}",0.25,True,True,True,5464,BOLSAS ZIPLOC 9*14*  (BLS100),3.0389
5465,BOLSAS ZIPLOC 7*10 (BLS100),BOLSAS ZIPLOC 7*10 (BLS100),BOLSAS|ZIPLOC|10|BLS100,ZIPLOC,BOLSAS|10|BLS100,"{""subtype"": [""ZIPLOC""]}",0.25,True,True,True,5465,BOLSAS ZIPLOC 7*10 (BLS100),3.0389
5466,BOLSAS ZIPLOC 5*8 (BLS100),BOLSAS ZIPLOC 5*8 (BLS100),BOLSAS|ZIPLOC|BLS100,ZIPLOC,BOLSAS|BLS100,"{""subtype"": [""ZIPLOC""]}",0.3333,True,True,True,5466,BOLSAS ZIPLOC 5*8 (BLS100),3.1305
